relaxation_factor,mean_smoothed_auc,mean_late_reward,mean_score,standard_error_score,conservative_score
1.005,181.68598666666665,187.6030666666667,183.16525666666666,14.362581677226993,168.80267498943968
1.01,161.22406666666666,166.50973333333334,162.54548333333332,12.20548343992705,150.3399998934063
1.02,159.58753333333334,165.92553333333333,161.17203333333333,12.682325928301426,148.4897074050319
1.03,172.78841333333332,168.1175333333333,171.6206933333333,12.313677786874281,159.307015546459
1.04,179.71170666666666,178.36433333333335,179.3748633333333,15.442333321662131,163.9325300116712
1.05,162.57688000000002,150.64766666666668,159.59457666666668,15.604876539336454,143.98970012733022
1.06,162.21649333333335,169.6606,164.07752,15.746631540502374,148.33088845949763
1.07,157.7372,155.79533333333333,157.25173333333333,11.51754186198528,145.73419147134805
1.075,159.90646666666666,160.94226666666665,160.16541666666666,10.00010475363328,150.16531191303338
1.08,160.42645333333334,145.81213333333332,156.77287333333334,16.70528766168199,140.06758567165136
1.09,156.96873333333332,146.2974,154.3009,13.565142624871703,140.73575737512832
1.1,158.41637333333333,157.7946,158.26093000000003,16.0391331169073,142.22179688309274
1.125,166.29299999999998,164.47593333333333,165.83873333333335,16.961662357277305,148.87707097605605
1.15,158.49130666666665,143.04546666666664,154.62984666666665,12.285514470560216,142.34433219610645
1.2,158.27253333333334,145.67013333333335,155.12193333333335,15.080664408391549,140.0412689249418
