algorithm,step,mean_reward,ci95_reward,seed,seed_reward
Double DQN,14000,217.32,27.393578733710566,1,202.2
Double DQN,14000,217.32,27.393578733710566,2,226.3
Double DQN,14000,217.32,27.393578733710566,3,254.6
Double DQN,14000,217.32,27.393578733710566,4,172.4
Double DQN,15000,216.18,25.841052096228587,0,213.7
Double DQN,15000,216.18,25.841052096228587,1,193.3
Double DQN,15000,216.18,25.841052096228587,2,182.5
Double DQN,15000,216.18,25.841052096228587,3,251.6
Double DQN,15000,216.18,25.841052096228587,4,239.8
Double DQN,16000,187.7,18.814264503296425,0,202.5
Double DQN,16000,187.7,18.814264503296425,1,161.8
Double DQN,16000,187.7,18.814264503296425,2,208.6
Double DQN,16000,187.7,18.814264503296425,3,167.5
Double DQN,16000,187.7,18.814264503296425,4,198.1
Double DQN,17000,229.14000000000001,16.54460601404578,0,213.4
Double DQN,17000,229.14000000000001,16.54460601404578,1,208.9
Double DQN,17000,229.14000000000001,16.54460601404578,2,247.7
Double DQN,17000,229.14000000000001,16.54460601404578,3,249.5
Double DQN,17000,229.14000000000001,16.54460601404578,4,226.2
Double DQN,18000,210.66,49.276427006835625,0,214.6
Double DQN,18000,210.66,49.276427006835625,1,139.4
Double DQN,18000,210.66,49.276427006835625,2,285.2
Double DQN,18000,210.66,49.276427006835625,3,238.4
Double DQN,18000,210.66,49.276427006835625,4,175.7
Double DQN,19000,210.93999999999997,43.10737396965859,0,177.5
Double DQN,19000,210.93999999999997,43.10737396965859,1,146.4
Double DQN,19000,210.93999999999997,43.10737396965859,2,234.7
Double DQN,19000,210.93999999999997,43.10737396965859,3,224.9
Double DQN,19000,210.93999999999997,43.10737396965859,4,271.2
Double DQN,20000,200.44,38.454111095694294,0,178.6
Double DQN,20000,200.44,38.454111095694294,1,146.3
Double DQN,20000,200.44,38.454111095694294,2,195.0
Double DQN,20000,200.44,38.454111095694294,3,262.9
Double DQN,20000,200.44,38.454111095694294,4,219.4
Double SOR DQN,0,14.24,5.402493883383857,0,9.4
Double SOR DQN,0,14.24,5.402493883383857,1,11.7
Double SOR DQN,0,14.24,5.402493883383857,2,9.3
Double SOR DQN,0,14.24,5.402493883383857,3,17.1
Double SOR DQN,0,14.24,5.402493883383857,4,23.7
Double SOR DQN,1000,10.040000000000001,1.2358884092020606,0,9.5
Double SOR DQN,1000,10.040000000000001,1.2358884092020606,1,12.5
Double SOR DQN,1000,10.040000000000001,1.2358884092020606,2,8.9
Double SOR DQN,1000,10.040000000000001,1.2358884092020606,3,9.6
Double SOR DQN,1000,10.040000000000001,1.2358884092020606,4,9.7
Double SOR DQN,2000,30.68,26.745376045963532,0,9.2
Double SOR DQN,2000,30.68,26.745376045963532,1,76.8
Double SOR DQN,2000,30.68,26.745376045963532,2,47.4
Double SOR DQN,2000,30.68,26.745376045963532,3,9.4
Double SOR DQN,2000,30.68,26.745376045963532,4,10.6
Double SOR DQN,3000,135.3,137.52515669796563,0,59.7
Double SOR DQN,3000,135.3,137.52515669796563,1,159.3
Double SOR DQN,3000,135.3,137.52515669796563,2,10.5
Double SOR DQN,3000,135.3,137.52515669796563,3,48.8
Double SOR DQN,3000,135.3,137.52515669796563,4,398.2
Double SOR DQN,4000,177.42,127.1710381330592,0,106.6
Double SOR DQN,4000,177.42,127.1710381330592,1,429.9
Double SOR DQN,4000,177.42,127.1710381330592,2,62.8
Double SOR DQN,4000,177.42,127.1710381330592,3,148.9
Double SOR DQN,4000,177.42,127.1710381330592,4,138.9
Double SOR DQN,5000,151.95999999999998,57.41567676654172,0,57.9
Double SOR DQN,5000,151.95999999999998,57.41567676654172,1,203.9
Double SOR DQN,5000,151.95999999999998,57.41567676654172,2,217.1
Double SOR DQN,5000,151.95999999999998,57.41567676654172,3,164.0
Double SOR DQN,5000,151.95999999999998,57.41567676654172,4,116.9
Double SOR DQN,6000,158.42000000000002,42.615800025812014,0,93.7
Double SOR DQN,6000,158.42000000000002,42.615800025812014,1,215.9
Double SOR DQN,6000,158.42000000000002,42.615800025812014,2,154.2
Double SOR DQN,6000,158.42000000000002,42.615800025812014,3,194.8
