algorithm,step,mean_expected_reward,ci95_expected_reward,optimal_action_rate
Double Q-Learning,1200.0,-0.0784999999999998,0.005707995098123414,0.215
Double Q-Learning,1300.0,-0.07299999999999982,0.006168404499572954,0.27
Double Q-Learning,1400.0,-0.07549999999999982,0.005975662365254381,0.245
Double Q-Learning,1500.0,-0.07349999999999982,0.0061319151918139,0.265
Double Q-Learning,1600.0,-0.0759999999999998,0.005933923596258316,0.24
Double Q-Learning,1700.0,-0.07399999999999982,0.006094415600165262,0.26
Double Q-Learning,1800.0,-0.07349999999999982,0.006131915191813899,0.265
Double Q-Learning,1900.0,-0.07499999999999982,0.00601630949166492,0.25
Double Q-Learning,2000.0,-0.07049999999999983,0.006336290784403968,0.295
Double Q-Learning,2100.0,-0.0759999999999998,0.005933923596258318,0.24
Double Q-Learning,2200.0,-0.07199999999999983,0.006238422684296058,0.28
Double Q-Learning,2300.0,-0.06299999999999986,0.0067081176354514905,0.37
Double Q-Learning,2400.0,-0.07199999999999983,0.006238422684296058,0.28
Double Q-Learning,2500.0,-0.06599999999999985,0.006581743594498227,0.34
Double Q-Learning,2600.0,-0.06499999999999985,0.00662704979193032,0.35
Double Q-Learning,2700.0,-0.06749999999999984,0.006507633708377585,0.325
Double Q-Learning,2800.0,-0.05549999999999988,0.006904878327937301,0.445
Double Q-Learning,2900.0,-0.059999999999999866,0.006806677182837215,0.4
Double Q-Learning,3000.0,-0.05899999999999987,0.00683356716517845,0.41
Double Q-Learning,3100.0,-0.05699999999999988,0.0068786179516399275,0.43
Double Q-Learning,3200.0,-0.049999999999999906,0.006947035809081694,0.5
Double Q-Learning,3300.0,-0.052999999999999894,0.006934519870124092,0.47
Double Q-Learning,3400.0,-0.045999999999999916,0.006924769611391732,0.54
Double Q-Learning,3500.0,-0.038999999999999944,0.006776832541570027,0.61
Double Q-Learning,3600.0,-0.04049999999999994,0.006820489232220387,0.595
Double Q-Learning,3700.0,-0.037999999999999944,0.006743994015150221,0.62
Double Q-Learning,3800.0,-0.03649999999999995,0.006689025137225316,0.635
Double Q-Learning,3900.0,-0.03349999999999996,0.006557869337769413,0.665
Double Q-Learning,4000.0,-0.037999999999999944,0.006743994015150221,0.62
Double Q-Learning,4100.0,-0.032499999999999966,0.0065076337083775655,0.675
Double Q-Learning,4200.0,-0.031999999999999966,0.006481253058323701,0.68
Double Q-Learning,4300.0,-0.029499999999999974,0.006336290784403973,0.705
Double Q-Learning,4400.0,-0.027499999999999983,0.00620390134994094,0.725
Double Q-Learning,4500.0,-0.029999999999999975,0.006367063490137141,0.7
Double Q-Learning,4600.0,-0.024499999999999994,0.005975662365254388,0.755
Double Q-Learning,4700.0,-0.029999999999999975,0.006367063490137141,0.7
Double Q-Learning,4800.0,-0.024499999999999994,0.005975662365254389,0.755
Double Q-Learning,4900.0,-0.017000000000000008,0.005219069017270727,0.83
Double Q-Learning,5000.0,-0.016000000000000007,0.0050936507921097085,0.84
Double SOR Q-Learning,0.0,-0.09199999999999996,0.0037693671409423685,0.08
Double SOR Q-Learning,100.0,-0.09750000000000003,0.002169211236125856,0.025
Double SOR Q-Learning,200.0,-0.09199999999999996,0.0037693671409423724,0.08
Double SOR Q-Learning,300.0,-0.08849999999999991,0.0044325137212926045,0.115
Double SOR Q-Learning,400.0,-0.0764999999999998,0.005891069981560077,0.235
Double SOR Q-Learning,500.0,-0.07099999999999983,0.006304602450615069,0.29
Double SOR Q-Learning,600.0,-0.06649999999999984,0.006557869337769408,0.335
Double SOR Q-Learning,700.0,-0.05799999999999987,0.006857537246375477,0.42
Double SOR Q-Learning,800.0,-0.04749999999999991,0.006938346580153789,0.525
Double SOR Q-Learning,900.0,-0.03999999999999994,0.0068066771828372095,0.6
Double SOR Q-Learning,1000.0,-0.032499999999999966,0.006507633708377567,0.675
Double SOR Q-Learning,1100.0,-0.02849999999999998,0.006271984610533883,0.715
Double SOR Q-Learning,1200.0,-0.027499999999999983,0.00620390134994094,0.725
Double SOR Q-Learning,1300.0,-0.021500000000000005,0.005707995098123417,0.785
Double SOR Q-Learning,1400.0,-0.01750000000000001,0.005279290153288896,0.825
Double SOR Q-Learning,1500.0,-0.013500000000000005,0.004747931789885675,0.865
Double SOR Q-Learning,1600.0,-0.016500000000000008,0.005157209131899801,0.835
Double SOR Q-Learning,1700.0,-0.01750000000000001,0.005279290153288896,0.825
Double SOR Q-Learning,1800.0,-0.011000000000000003,0.004347312691559121,0.89
Double SOR Q-Learning,1900.0,-0.008000000000000002,0.003769367140942373,0.92
Double SOR Q-Learning,2000.0,-0.006500000000000001,0.0034252479644677454,0.935
Double SOR Q-Learning,2100.0,-0.0075000000000000015,0.0036595781946576894,0.925
Double SOR Q-Learning,2200.0,-0.006500000000000001,0.003425247964467738,0.935
Double SOR Q-Learning,2300.0,-0.0025,0.0021692112361258553,0.975
Double SOR Q-Learning,2400.0,-0.0005,0.0009800000000000004,0.995
Double SOR Q-Learning,2500.0,-0.001,0.0013824426710332244,0.99
Double SOR Q-Learning,2600.0,-0.0015000000000000002,0.001688858554195819,0.985
Double SOR Q-Learning,2700.0,-0.0015000000000000002,0.0016888585541958204,0.985
Double SOR Q-Learning,2800.0,0.0,0.0,1.0
Double SOR Q-Learning,2900.0,-0.0005,0.0009800000000000024,0.995
Double SOR Q-Learning,3000.0,-0.0005,0.0009800000000000013,0.995
Double SOR Q-Learning,3100.0,-0.0005,0.0009800000000000015,0.995
Double SOR Q-Learning,3200.0,0.0,0.0,1.0
Double SOR Q-Learning,3300.0,-0.001,0.0013824426710332266,0.99
Double SOR Q-Learning,3400.0,-0.0005,0.0009800000000000008,0.995
Double SOR Q-Learning,3500.0,0.0,0.0,1.0
Double SOR Q-Learning,3600.0,0.0,0.0,1.0
Double SOR Q-Learning,3700.0,-0.0005,0.0009800000000000008,0.995
Double SOR Q-Learning,3800.0,0.0,0.0,1.0
Double SOR Q-Learning,3900.0,-0.0005,0.0009800000000000004,0.995
Double SOR Q-Learning,4000.0,-0.001,0.001382442671033223,0.99
Double SOR Q-Learning,4100.0,-0.0005,0.000980000000000001,0.995
Double SOR Q-Learning,4200.0,-0.001,0.0013824426710332242,0.99
Double SOR Q-Learning,4300.0,0.0,0.0,1.0
Double SOR Q-Learning,4400.0,-0.0005,0.0009800000000000002,0.995
Double SOR Q-Learning,4500.0,-0.0015000000000000002,0.001688858554195816,0.985
Double SOR Q-Learning,4600.0,-0.001,0.0013824426710332244,0.99
Double SOR Q-Learning,4700.0,-0.001,0.0013824426710332246,0.99
Double SOR Q-Learning,4800.0,-0.001,0.0013824426710332188,0.99
Double SOR Q-Learning,4900.0,-0.0015000000000000002,0.0016888585541958213,0.985
Double SOR Q-Learning,5000.0,0.0,0.0,1.0
