relaxation_factor,mean_smoothed_auc,standard_error_auc,mean_late_reward
1.001,118.67866666666669,12.441953831619378,187.3251111111111
1.005,120.99966666666666,22.24002879944178,187.6237777777778
1.01,131.20777777777778,7.879322085742154,206.02555555555554
1.02,118.443,13.91688881792085,192.41111111111113
1.04,136.51966666666667,9.468145056705387,207.71066666666664
1.08,155.81499999999997,7.2768439765642325,241.81355555555555
1.15,120.65288888888888,13.20211938840423,183.3091111111111
1.3,111.21877777777779,15.167730353827487,177.76711111111106
1.5,142.97744444444444,17.453982254226805,211.41822222222223
2.0,134.30577777777776,9.429624890095115,210.16955555555558
3.0,89.59811111111111,17.62469157422109,120.98311111111114
5.0,18.873555555555555,2.2571772714095593,25.341111111111115
8.0,10.424999999999999,0.7733529451536194,11.49377777777778
12.0,9.441666666666665,0.05332743022886838,9.45111111111111
20.0,9.395888888888889,0.07087660987350101,9.349111111111112
35.0,9.363999999999999,0.05257199648876616,9.400888888888888
50.0,9.363999999999999,0.05257199648876616,9.400888888888888
70.0,9.363999999999999,0.05257199648876616,9.400888888888888
90.0,9.363999999999999,0.05257199648876616,9.400888888888888
99.0,9.363999999999999,0.05257199648876616,9.400888888888888
