relaxation_factor,mean_auc_difference,mean_late_reward_difference,conservative_difference
1.08,-2.0156266666666682,0.017600000000010142,-22.826743018003892
1.5,-17.020920000000007,-43.76119999999999,-40.75565223510552
1.04,-6.113226666666679,-18.130133333333323,-33.52275123245784
2.0,-43.37489333333334,-49.253466666666654,-65.51200081675144
1.01,-11.083933333333329,-10.899666666666656,-37.54750728133058
